measure,separation
raw ncd,0.8921856639247944
skel ncd,0.7532314923619271
raw lzjd256,0.7223854289071681
raw lzjd512,0.7159224441833137
raw lzjd128,0.699177438307873
raw lzjd64,0.6401292596944771
skel lzjd32,0.5925381903642774
skel lzjd256,0.5801997649823737
raw lzjd32,0.5655111633372503
skel lzjd64,0.5655111633372503
skel lzjd512,0.559048178613396
skel lzjd128,0.5581668625146886
raw lzjd1K,0.5455346650998825
skel lzjd1K,0.5
